review_title,review_date,reviewer_country,room_type,party_size,nr_nights,date_stay,review_score,review_great,review_poor,hotel_response_bool
N/A,06-2021,Netherlands,Standard Queen Room,Couple,2,06-2021,8.0,"Kamer prima, personeel ook",Badkamer veel te klein,True
N/A,06-2021,Netherlands,Standard Queen Room,Solo traveller,1,06-2021,9.0,"Mooie kamer, fijne inrichting.",Gangen een beetje donker,True
N/A,06-2021,Netherlands,Standard Queen Room,Couple,1,06-2021,8.0,Todo el servicio y las instalaciones,El colchón era muy suave y te puede hacer doler un poco la espalda.,True
N/A,05-2021,Netherlands,Deluxe King Room,Couple,3,05-2021,8.0,"Het personeel is super behulpzaam, problemen lossen ze snel op en denken super met je mee.
De gemeenschappelijke ruimtes zijn erg gezellig.",Voor ons beide was het matras niet prettig.,True
N/A,05-2021,Netherlands,Standard Queen Room,Couple,1,05-2021,9.0,"Goede locatie, het centrum was op loopafstand.
De hygiëne is goed, het is er erg schoon.
Oprecht vriendelijk personeel.",Alleen de gordijnen waren vies.,True
N/A,05-2021,Netherlands,Deluxe King Room,Couple,2,05-2021,8.0,We vinden hoe jullie de stijl door trekken over echt geweldig! Beleveniseconomie en imaginering ten top :),"Het bed was tamelijk hard en bij het 2e ontbijt was er intern niet goed door gekomen dat wij vegan eten, daardoor viel het 2e ontbijt een beetje tegen. Zeker omdat we zo blij verrast waren met het 1e ontbijt!!",True
N/A,05-2021,Netherlands,Standard Queen Room,Solo traveller,1,05-2021,9.0,Schoon en vriendelijke sfeer.,N/A,True
N/A,05-2021,Netherlands,Standard Queen Room,Family,1,05-2021,9.0,"Leuk hotel op loopafstand van het centrum, zeer vriendelijk personeel, ruime kamer, gezellige lounge om te zitten",N/A,True
N/A,05-2021,Netherlands,Deluxe King Room,Family,1,05-2021,9.0,De sfeer van de kamer is heel fijn en het personeel is uitermate vriendelijk.,N/A,True
N/A,05-2021,Netherlands,Standard Queen Room,Family,1,05-2021,9.0,"Wat een leuk en hip hotel! Supervriendelijk personeel, kamer ruim en in orde, qua Corona top geregeld en lekker gegeten! Volgende keer weer!:))","Niets, misschien een deur in de douchecabine..",True
N/A,03-2021,Netherlands,Standard Queen Room,Solo traveller,1,03-2021,9.0,"Onwijs vrolijk en meedenkend personeel. Hippe lobby waar we op 1,5 mtr ons ontbijt to go mochten nuttigen, heel leuk",In de hotelkamer bij het bed/nachtkastje was het best stoffig,True
N/A,03-2021,Netherlands,Standard Queen Room,Solo traveller,1,03-2021,9.0,"Goede sfeer en service, nette schone kamer en prima bed","Niets, ondanks de corona-beperkingen prima verblijf",True
N/A,02-2021,Netherlands,Standard Queen Room,Group,1,02-2021,9.0,"Personeel was erg spontaan en vriendelijk, dit zorgde voor een gezellige binnenkomst en prettig vertrek. Het hotel was ook op een heerlijke locatie waarbij je lopend het centrum in kan. Het is een prachtig gebouw en er hangt een zeer goede sfeer, kom er absoluut nog eens!",N/A,True
N/A,12-2020,Netherlands,Standard Queen Room,Couple,1,12-2020,8.0,"Super hotel, wij zouden het iedereen aanbevelen. Het ontbijt overtrof onze verwachtingen! Ondanks de take-away variant, hebben wij heerlijk ontbeten. Zelfs met een gebakken eitje! Ook was het personeel super vriendelijk.","Het had net iets schoner gekund. Het was wel prima schoon hoor, maar niet brandschoon. Hier en daar wat stoffig enzo.",True
N/A,12-2023,Germany,Deluxe King Room,Group,2,12-2023,10,"Super ruhig, trotz stylish jugendlichem Flair, modern, sauber, citynah. Sehr freundliches Personal, Garage direkt nebenan","Bett hätte weicher sein können, aber das ist ja Geschmacksache",False
N/A,12-2023,Netherlands,Deluxe King Room,Family,2,12-2023,6.0,Leuk concept van hotel met studentenhuisvesting waardoor levendig,Prijs kwaliteit niet helemaal in verhouding. Kamers zijn beetje sober,True
N/A,12-2023,Netherlands,Standard Queen Room,Couple,2,12-2023,6.0,N/A,"De douche, alles is na het douchen kletsnat.
Het water komt over al in de badkamer.
De wc liep zeer langzaam vol.
De matras was zeer verouderd. Overal bolletjes op het matras.",True
N/A,12-2023,Netherlands,Standard Queen Room,Group,1,12-2023,10,"Schoon, ruime kamer, vriendelijk personeel, uitstekend ontbijt, goede voorzieningen",Niets,True
N/A,11-2023,Netherlands,Deluxe King Room,Couple,1,11-2023,10,Het personeel en de welkomst.,Nvt,True
N/A,11-2023,Netherlands,Standard Queen Room,Solo traveller,2,11-2023,10,"Zeer prettige ontvangst. Medewerkers erg hulpvaardig en belangstellend. Fijn en groot bed. Mooie doucheruimte. 
Grote algemene ruimte om te zitten lezen, studeren of voor andere activiteiten.
De locatie was het belangrijkst voor mijn keuze.
Nl. op loopafstand van de plek waar ik naar een concert ging van de geweldige Ierse singer/songwriter Luka Bloom.
Ik was eerder in dat hotel en had toen ook een heel goede ervaring. Dus voor een evt. volgend verblijf in Groningen zal ik daar waarschijnlijk weer voor kiezen.",Niets.,True
N/A,10-2023,Netherlands,Standard Queen Room,Family,1,10-2023,4.0,Het eerste contact bij de receptie was fijn.,Vooral de prijs. Engels sprekende personeel. De nonchalante houding van de rest van het personeel.,True
N/A,11-2023,Netherlands,Standard Queen Room,Family,1,11-2023,10,"Sfeervolle kamer, thuisgevoel! Aandacht voor detail, van een stroopwafel bij aankomst tot iets lekkers bij vertrek. Fijn personeel.Parkeergarage om de hoek.",alles was oké....,True
N/A,10-2023,Netherlands,Deluxe King Room,Couple,2,10-2023,6.0,"Ruime kamer, goed bed, aardig personeel.","Hygiëne van sanitaire voorzieningen en openbare ruimtes, karig ontbijt, ligging hotel.",True
N/A,10-2023,Germany,Deluxe Studio,Couple,3,10-2023,4.0,Die Lage. Insgesamt interessantes Konzept.,"Schimmel im Bad, Spuren im Klo und muffiger Geruch. Gammelige Essensreste in der Pantry-Küche, dreckige Schränke und verkalkter Wasserkocher, kein Geschirr etc.",True
N/A,10-2023,Netherlands,Deluxe King Room,Couple,1,10-2023,5.0,Ruime kamer.,"Badkamer t.o.v. kamer zeer klein. Prullenbak badkamer was niet geleegd, gangen waren vies.
Ontbijt heel rommelig, moesten vragen om aanvulling producten,bediening niet te vinden.",True
N/A,10-2023,Hungary,Deluxe King Room,Couple,5,10-2023,10,"Nagyon jó elhelyezkedés, a leírtakbak megfelelő szállás.",N/A,True
N/A,10-2023,Netherlands,Deluxe King Room,Couple,1,10-2023,10,Gezellige sfeer,Geen opmerkingen,True
N/A,10-2023,Netherlands,Deluxe King Room,Family,1,10-2023,10,Bed,Er viel niks tegen.,True
N/A,10-2023,Netherlands,Deluxe King Room,Solo traveller,1,10-2023,10,het vriendelijke en pro actieve personeel,de douche. de thermostaat ging van koud naar warm en weer terug,True
N/A,10-2023,Germany,Standard Queen Room,Couple,5,10-2023,5.0,"Lage war super, Personal war auch freundlich","Das Wlan der Unterkunft war häufig sehr langsam, der Fernseher war sehr klein und auch älter. 
Das Bett war leider recht hart.
Um in das Zimmer zu kommen musste man allein auf dem Stockwerk mit der Karte drei Türen entriegeln was wenn man bepackt ist recht nervig ist. Die Tür des Zimmers schloss extrem langsam und ließ sich nur mit sehr viel kraft schneller schließen, was insbesondere dann blöd ist wenn eine Person im Bett bleibt und jeder ins Zimmer schauen kann oder man schnell los will aber man erst warten muss bis die Tür zu ist, weil sonst noch jemand unbemerkt ins Zimmer kann, wenn man selbst schon um die Ecke.
Der Reinigungsservice kam morgens schon so früh, dass es immer ein Abwegen zwischen Ausschlafen und sauberem Zimmer war. Das Toilettenpapier war sehr dünn, es gab keinen Föhn und an der Stange für einen Dusch-Vorhang war leider kein Dusch-Vorhang, wodurch man in Kombination mit der ebenerdigen Dusche leicht das Bad flutete(das Wasser floss leider nicht ab und man musste den GANZEN TAG über mit Schlappen aufs Klo).",True
N/A,10-2023,Belgium,Deluxe King Room,Solo traveller,1,10-2023,5.0,Localisation,Hôtel pour étudiants…,True
N/A,10-2023,Germany,Deluxe King Room,Couple,1,10-2023,10,"Die Atmosphäre, alles sehr locker und freundlich!
Zimmer ziemlich groß und komfortabel!",Alles gut!,True
N/A,10-2023,Germany,Deluxe King Room,Group,2,10-2023,10,"Das Hotel ist wirklich unglaublich gut, das Zimmer war unglaublich groß. Und es war sehr zentral gelegen. In 700m waren wir in so einer Party Meile und auch da sind dann für den nächsten Tag alle Geschäfte . Also eine total super Lage . Das Frühstück war bombenmäßig gut wie kommen wieder 😎",N/A,True
N/A,08-2023,Germany,Standard Queen Room,Family,2,08-2023,10,Vom Hbf 30min zu fuß und man sieht auf dem Weg echt viel von der Stadt. Das frühstück ist sehr sehr lecker nur zum empfelen für ein günstiges aber guttes Hotel.,N/A,True
N/A,09-2023,Netherlands,Standard Queen Room,Couple,1,09-2023,10,"De sfeer, het ongelofelijk vriendelijke personeel; bij de balie toen we s 'avond slaat aankwamen, bij het ontbijt, later weet bij de balie toen we onze koffers gingen halen en nog even een ruimte nodig hadden om ons om te kleden. Echt top! De sfeer met allemaal jonge mensen is heel tof. ( en wij dan als bijna 60 er tussen)",niets,True
N/A,08-2023,Netherlands,Standard Queen Room,Family,1,08-2023,10,"Gezellig hotel, vriendelijk personeel, lekker ontbijt",Nvt,True
N/A,09-2023,Netherlands,Standard Queen Room,Solo traveller,1,09-2023,10,"Erg leuk en hip hotel, met vriendelije en behulpzame personeel. Ook erg prettig dat de parkeergarage om de hoek zit.",N/A,True
N/A,09-2023,Netherlands,Standard Queen Room,Couple,1,09-2023,10,"Welkomstdrankje, fijne incheck bij vriendelijke dame en parkeren in de parkeergarage vrijwel onder het hotel. Ideaal voor een dagje. Wij kwamen 19:00 aan en moesten 07:00 weer weg, dus vrij weinig in het hotel gezeten, uit eten gegaan in de stad. Slapen ging prima!","Klein aandachtspuntje, neem ook de kasten af, zat ramvol met vette vingers van vorige gasten. Dat kan beter, verder netjes schoon!",True
N/A,08-2023,Italy,Standard Queen Room,Group,6,08-2023,6.0,In generale molto carino,"Abbiamo avuto qualche problema con la pulizia della camera; eravamo con una coppia di amici ..a loro hanno sistemato giornalmente la stanza, a noi mai , nonostante le lamentele.",True
N/A,09-2023,Germany,Deluxe King Room,Couple,3,09-2023,4.0,"Die Lage ist optimal, man ist in ca. 15 Min. in der Innenstadt, das Brot war gut und frich aufgebacken. Saftangebot war gut. Die Zimmer waren zweckmäßig der Kategorie entsprechend ausgestattet. Matratzen sind gut, nur eine Bettdecke für das Doppelbett ist nicht so gut. Im Badezimmer war keine Spiegelbeleuchtung vorhanden. Hier sollte mindestens ein Schminkspiegel angeschafft werden.","das Frühstück ist zum Teil ungenießbar - z.B. Rührei ohne Geschmack nur klumpig, aufgeschnittenes Obst schlecht zubereitet, viele Zutaten nur in Plastikverpackungen, Aufschnitt und Käse sehr salzig, keine Abwechslung im Angebot, die Brötchen waren hart und ungenießbar, Im Badezimmer war keine Spiegelbeleuchtung vorhanden. Hier sollte mindestens ein Schminkspiegel angeschafft werden.Viel zu dunkle Flure, zum Teil lange Wartezeiten am Fahrstuhl, Zimmerreinigung erst am Nachmittag, schmutzige und staubige Flure auf der Etage",True
N/A,08-2023,Belgium,Standard Queen Room,Couple,1,08-2023,5.0,proximité du centre,"salle de bain pas nettoyée. Toilettes sales.
Pas de table de nuit sur un côté du lit.
Draps jetés en boule dans le couloir plus de 24h
Le hall d'entrée/présentation sur booking a l'air plus soigné que le nettoyage des chambres.... 
L'hotel se revendique durable mais donne des shampooing individuels. 
Cher pour la prestation reçue.",True
N/A,09-2023,Austria,Deluxe King Room,Couple,9,09-2023,6.0,Das große Zimmer,"Das das Internet mehr als 3 Tage nicht funktioniert hat
Das es einen Wasserkocher aber keine Tassen gab",True
N/A,09-2023,Netherlands,Deluxe King Room,Couple,1,09-2023,5.0,Personeel was zeer vriendelijk,"De ligging zou vlak bij centrum zijn
Keuze in restaurant was weinig keus
Ontbijt waarschijnlijk waren de broodjes van de vorige dag",True
N/A,09-2023,Netherlands,Standard Queen Room,Couple,4,09-2023,10,"Personeel was vriendelijk en behulpzaam, het ontbijt was goed 
De locatie is voor een steden trip prima het centrum is in 10 minuten van het hotel.
Ruime parkeer gelegenheid in de parkeer garage naast het hotel je betaald 13,50 euro per dag",kan niks verzinnen,True
N/A,08-2023,Italy,Standard Queen Room,Family,1,08-2023,10,Design - tipo di ambiente- ristorante,N/A,True
N/A,08-2023,Netherlands,Standard Queen Room,Family,1,08-2023,10,"Super hotel, lekker informeel, geweldig personeel, mooie ambiance, eten en drinken top! Aanrader!",Niets,True
N/A,08-2023,Germany,Standard Queen Room,Couple,1,08-2023,6.0,Spannendes Konzept,Viel Plastik auf dem Frühstückstisch,True
N/A,08-2023,Belgium,Deluxe King Room,Couple,2,08-2023,10,"de ruimte, de ligging, het supervriendelijke en -enthousiaste personeel
tot nu toe het beste hotel dat ik al bezocht heb",niets,True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,2,08-2023,10,"Super hotel. Heerlijk ontbijt en vriendelijk personeel flesje water op de kamer
Dichtbij het centrum en parkeergarage naast het hotel voor 13.50€ perdag.  Komen zeker terug",Eigenlijk helemaal niets,True
N/A,08-2023,France,Standard Queen Room,Couple,1,08-2023,10,"L'accueil : quelle gentillesse ! Et les conseils touristiques étaient parfaits.
Meilleur petit déjeuner d'hôtel de ma vie. Plein de fruits, plein de choix, jus d'orange fraîchement pressé en abondance, lait de soja.... Avec l'attention constante du personnel pour recharger les présentoirs, vider les poubelles et répondre aux questions. J'ai ADORÉ.",La seule chose que nous avons regrettée était l'absence de parking privatif à l'hôtel : il faut payer le parking à côté. Mais il est tout près. Ça rajoute juste du budget.,True
N/A,08-2023,Germany,Standard Queen Room,Group,2,08-2023,4.0,Sehr gute Lage. Freundches Personal.,"Sauberkeit ist nicht ok. Benutzte Fußbodenhandtücher wurden wieder auf die sauberen Tücher gelegt.
Silberfischchen in den Bädern.",True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,6.0,Locatie,Kamer rook bij binnenkomst muf. Alsof er met vieze doeken was schoongemaakt. Badkamer niet 100 % schoon. Ontbijt buffet heel rommelig. Buiten terras tijdens ontbijt vies en geen kussens in de loungebanken,True
N/A,08-2023,Netherlands,Standard Queen Room,Family,2,08-2023,4.0,Dicht bij het centrum.,"Matras geheel doorgezakt. Liggen in een kuil. 1 goed bed en 1 nachtkastje, aan 1 kant stopcontacten en een leeslampje. De 2e persoon komt er slecht van af. Slecht matras, geen lamp, geen stopcontact geen nachtkastje. Daarnaast was er gerookt in de kamer.",True
N/A,08-2023,Netherlands,Standard Queen Room,Family,1,08-2023,6.0,"Het uitzicht, zeer centraal t.o.v. Groningen centrum en een fantastisch ontbijtbuffet","Zeer gedateerde kamer, airco werkte niet daardoor vreselijk warm op de kamer (niet kunnen slapen), tv deed het niet. Geen zeep en geen föhn.",True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,2,08-2023,4.0,Locatie was top! Binnen paar minuten was je midden in de stad.,"Er was bij de reservering gevraagd welk tijdsblok we wilde boeken.
Echter toen we bij het ontbijt aankwamen waren ze hier niet van op de hoogte. En konden we niet in de ruimte voor het ontbijt zitten maar moesten we naar de lobby",True
N/A,08-2023,Netherlands,Deluxe Studio,Couple,3,08-2023,6.0,Personeel behandelde elk probleem ruimhartig. Supervriendelijk.,"Hygiëne. Kitchenette was plakkerig en vies, en zonder bestek, bekers of pannen. Vlek op laken, dat wel gewassen was, maar dat geeft toch een minder goed gevoel.
Bij laat ontbijt ontbrak veel: bestek, kaas, schone tafels, bv. Werd wel aangevuld na vragen, maar prettig als dat vanzelf gaat.",True
N/A,07-2023,Austria,Deluxe King Room,Group,2,07-2023,10,Die Lage ist super und ich war generell positiv überrascht von den Gemeinschaftsräumen und den Hotelzimmern. Auch das Personal war sehr freundlich und hilfsbereit. Alles war sehr sauber.,N/A,True
N/A,07-2023,Poland,Standard Queen Room,Solo traveller,1,07-2023,10,"Fajna lokalizacja, świetne miejsce, miła obsługa, polecam.",N/A,True
N/A,08-2023,Netherlands,Standard Queen Room,Family,1,08-2023,6.0,Locatie,Konden pas rond 6 uur /half 7 inchecken ivm problemen met housekeeping. Na het zien van kamer hoge prijs/kwaliteit,True
N/A,08-2023,Netherlands,Standard Queen Room,Family,2,08-2023,6.0,Het personeel,De hygiëne,True
N/A,08-2023,Netherlands,Standard Queen Room,Solo traveller,1,08-2023,10,Dat er activiteiten waren in het hotel gedurende de Pride!  Ik kwam voor het Noorderzon festival.,N/A,True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,5.0,"Leuke mensen, goeie gezamenlijke ruimtes. Prima ontbijt.","Kamer vies, beetje bloed in het gordijn en overal erg smoezelig. Tv traag, geen douchegordijn of iets dus het water van de douche lag overal in de badkamer. Bed een dun matras wat het vrij hard maakte.",True
N/A,08-2023,Germany,Standard Queen Room,Couple,1,08-2023,5.0,N/A,"Beim ersten Zimmer fanden wir ein ungereinigtes Bad vor.  Nach einer Beschwerde an der Rezeption war das neue Zimmer zwar größer doch das Bad nicht sauberer, dafür war das Zimmer direkt über der Bar, in der am Abend ein contest stattfand. Schlafen also nur mit oropax möglich. Für 120 Euro für eine Nacht eine echte Enttäuschung.",True
N/A,08-2023,Netherlands,Deluxe King Room,Couple,1,08-2023,10,Aardig personeel en mooie kamer.,N/A,True
N/A,08-2023,Netherlands,Standard Queen Room,Solo traveller,3,08-2023,6.0,"rustige buurt net aan de rand van de stad, alles op loopafstand bereikbaar","stoffig, ik ben allergisch voor huisstofmijt en hierop voorbereid als ik naar een hotel ga. Ik had hier veel last en meestal wordt er dan slecht gestofzuigd.
geen mogelijkheid tot zelf water koken op kamer voor bijvoorbeeld een kopje thee.",True
N/A,08-2023,Germany,Standard Queen Room,Couple,1,08-2023,10,"Wir waren schon öfter hier in diesem Hotel, es ist für einen kurz Trip absolut zu empfehlen. Zentral, absolut sauber und ruhig, man ist mitten drin und erreicht alles zu Fuß",N/A,True
N/A,08-2023,Germany,Standard Queen Room,Couple,1,08-2023,6.0,"Modernes Konzept, freundliches Personal, tolle Aussicht
Das anfänglich defekte Türschloß wurde umgehend von einem sehr freundlichen Mitarbeiter instand gesetzt.
Ausreichend Steckdosen vorhanden ! Frühstück war gut, auch hier freundliches Personal.","Unpraktische Einrichtung: kaum Haken im Bad, beim Duschen setzt man das halbe Bad unter Wasser, nur eine Bettdecke, aber konsequenterweise gab es ja auch nur einen Nachttisch und eine Leselampe - war das eigentlich als Einzelzimmer geplant ? Keine Ablagemöglichkeit für Trolley",True
N/A,08-2023,Germany,Deluxe Studio,Couple,1,08-2023,4.0,Das Erdgeschoss,"Alles abgenutzt, ungepflegt, teilweise sogar schmutzig.",True
N/A,08-2023,Germany,Standard Queen Room,Couple,1,08-2023,5.0,"Lage, Personal ,Lobbybereich und Frühstück.","Dreckiges Zimmer (insbesondere Waschbecken, Toilette, Fingerabdrücke auf der Fensterscheibe; Staub im Regal); zahlreiche Flecken an allen Zimmerwänden.  
 Flurboden der Etage nicht gesaugt.",True
N/A,08-2023,Belgium,Standard Queen Room,Couple,1,08-2023,10,N/A,Weinig stopcontacten in de slaapkamer en geen haardroger.,True
N/A,08-2023,Netherlands,Standard Queen Room,Family,1,08-2023,10,Smaakvol ingericht met leuke creatieve details.,Niets,True
N/A,08-2023,Germany,Standard Queen Room,Family,2,08-2023,10,"freundliches Personal, ansprechendes Design, ruhig, gute Lage",Frühstücksbereich war ab 09:00 schnell überfüllt,True
N/A,08-2023,United Kingdom,Standard Queen Room,Family,1,08-2023,10,"super Ausstattung, alles was man für einen Kurztrip oder auch Geschäftsreise braucht. Besonders praktisch war, dass es einen kleinen Waschsalon gab, ein Fitnessstudio sowie ein Cafe im Haus.  Das Personal war total freundlich wir haben uns sehr wohl gefühlt und werden sehr gerne wiederkommen.",Es war alles super!,True
N/A,08-2023,Netherlands,Standard Queen Room,Family,1,08-2023,5.0,"Чистота в номере, удобная ванная комната....","1.Один стул на двох і номере.
 2. Письменный стол в номере, неудобно за ним сидеть.
3. Ненужная пустая полка над столом, о которую удобно только  биться головой..",True
N/A,07-2023,Netherlands,Standard Queen Room,Group,1,07-2023,10,"Goede locatie, modern hotel, vrienden personeel.",-,True
N/A,07-2023,Germany,Deluxe King Room,Couple,2,07-2023,5.0,Gefallen hat uns die Nähe zur Stadt und die Ausstattung. Zudem war das Hotel sehr sauber.,"Wir haben inkl Frühstück gebucht und an beiden Tagen zum Frühstück ein total überfülltes Restaurant und leeres Buffet vorgefunden (Frühstückszeit Sa 9:30, So 10:00) zudem wurde nur Sonntag stichprobenartig kontrolliert ob man mit oder ohne Frühstück gebucht hat. Das wurde wohl auch ausgenutzt. 
Nächstes mal dann wieder ohne",True
N/A,08-2023,Belgium,Standard Queen Room,Couple,3,08-2023,10,Het vriendelijk petsoneel en de locatie,De douche. Heel de badkamer nat na een douche,True
N/A,08-2023,Germany,Standard Queen Room,Couple,2,08-2023,10,"Nettes Personal, sehr modernes und sauberes Hotel, tolles Badezimmer und absolute TOP Lage","Es hätte ein wenig mehr Ausstattung sein können, zum Beispiel ein zweiter Nachtschrank oder Mülleimer",True
N/A,08-2023,Germany,Standard Queen Room,Family,2,08-2023,10,"Sehr gute Lage, sehr nah zur Innenstadt, Parkhaus mit gutem Tarif gleich um die Ecke. Nettes Frühstückscafe, gut ausgestattete Gym und großzügiges Foyer (wo man zB arbeiten kann, wenn man noch nicht/schon ausgecheckt ist. Sehr gute Preis-Leistung! Klare Empfehlung, Gerne immer wieder.",N/A,True
N/A,08-2023,Germany,Deluxe King Room,Couple,1,08-2023,10,"Schönes Hotel mit viele liebevollen Details, Sauberkeit war ganz passabel",Sauberkeit,True
N/A,08-2023,Spain,Deluxe King Room,Couple,1,08-2023,10,Si te gustan los hoteles modernos este es uno de los mejores en el que estamos estado. Cercano al centro y buen ambiente.,N/A,True
N/A,08-2023,Netherlands,Standard Queen Room,Family,1,08-2023,6.0,We kregen een andere kamer omdat op de eerste de douche niet afliep,Niets,True
N/A,05-2023,Belgium,Standard Queen Room,Group,2,05-2023,3.0,De locatie is oké,De kamer was niet klaar voor nieuwe gasten. We hadden een keuken in de kamer maar er stond niks in om te gebruiken. De douche liep niet meer af waardoor heel de badkamer onder water stond na 1 douche…,True
N/A,08-2023,Netherlands,Standard Queen Room,Group,1,08-2023,10,"leuke ligging, goed ontbijt, aardig personeel, prima kamers, tafeltennis is top","badkamer was wat ongemakkelijk ingedeeld, en de bar sloot al rond 23.00 uur, dat was jammer, we hadden graag nog even doorgeborreld",True
N/A,07-2023,Germany,Standard Queen Room,Group,2,07-2023,10,"Sehr lockeres und freundliches Team / öffentliche, helle TG gleich neben dem Hotel / nur wenige Minuten in die Innenstadt",Alles war perfekt,True
N/A,08-2023,Germany,Deluxe King Room,Couple,1,08-2023,6.0,Sehr nettes Personal.,Zu wenig Plätze beim Frühstück. Bacon zu hell. Keine Auswahl bei den Brötchen. Parkmöglichkeit teuer. Kleines Zimmer. Fenster konnte nicht geöffnet werden.  Sehr dunkle Flure,True
N/A,08-2023,Netherlands,Standard Queen Room,Group,2,08-2023,10,Het vriendelijke personeel,Niet van toepassing,True
N/A,07-2023,Netherlands,Standard Queen Room,Couple,1,07-2023,6.0,De ligging,"Hygiëne
Organisatie
Ruimte op de kamer",True
N/A,07-2023,Germany,Standard Queen Room,Group,3,07-2023,10,Das sehr freundliche und aufmerksame Hotelpersonal. Danke nochmal für die Kopfschmerztabletten nach dem Konzert und die Grüße von der Postkarte !,-,True
N/A,07-2023,Germany,Standard Queen Room,Group,3,07-2023,6.0,Lage ist super. Schnell im Centrum. Viele Restaurants und Cafés um die Ecke. Parkhaus unter dem Hotel. Trotzdem ruhig,"Kissen  sind Katastrophe (zu hoch), ebenfalls die Matratze, die zu weich ist.
Der Zimmerservice lässt zu wünschen übrig. Teilweise gar kein Service oder zu spät: ein Mal gegen 18 Uhr. Es gibt einen Wasserkocher, Tee oder Kaffee wurde nicht nachgefüllt. Gläser nicht abgespült. Flächen nicht gewischt. Lampen voller Staub. Türen haben überall Fingerprints im Zimmer wie auch außerhalb, Außentür und Zwischentüren.   Zimmer war sehr klein. Lampe und Steckdose nur an einer Seite des Bettes. Ebenerdige Dusche, die dazuführt, dass das ganze Minibad nass ist. Unserer Meinung nach ist das Zimmer nur für eine Person ausgelegt. 
Hier stimmt einfach das Preis-Leistungsverhältnis nicht...",True
N/A,07-2023,Netherlands,Standard Queen Room,Couple,1,07-2023,10,De vriendelijkheid en flexibiteit,Niets,True
N/A,07-2023,Netherlands,Deluxe King Room,Group,1,07-2023,4.0,De uitstraling en het ontbijt,"Keihard bed, stoffig en slecht schoongemaakt op punten. Douche was wel schoon maar ook stoffig. 
Op de kamer was maar 1 comfortabele stoel waardoor een van ons op de oncomfortabele houten bureaustoel moest zitten.
Beperkte menukaart en daardoor slecht gegeten terwijl het personeel het eten had aangeprezen.",True
N/A,07-2023,Germany,Standard Queen Room,Group,1,07-2023,10,Mooi hotel met een geweldig en heerlijk ontbijt.,N/A,True
N/A,07-2023,Switzerland,Standard Queen Room,Group,1,07-2023,10,"Das spezielle Ambiente, die Philosophie, der Kickerkasten. Sehr gutes Frühstück!",Es gibt keinen Raum für Fahrräder,True
N/A,07-2023,Netherlands,Standard Queen Room,Group,1,07-2023,10,"een prima lunch en gevarieerd ontbijt voor een schappelijke prijs, zeer vriendelijk personeel,
mogelijkheid om koffie of thee te gebruiken op de kamer
uitstekende locatie dichtbij het centrum met naast het hotel een parkeergarage met max. dagtarief van € 13,50","bij binnenkomst bleek de toeristenbelasting de afgelopen week te zijn verhoogd (stond niet op de site),",True
N/A,07-2023,Belgium,Standard Queen Room,Couple,1,07-2023,6.0,Leuke lobby,"De kamers zijn niet zoals de lobby. Meubelen lijken om mijn meubels toen ik 10 was, een grote bureau, en klassieke rechthoekige kleerkast… not very 2023! Badkamer was ronduit te klein en douche hhad de kracht van een kraan. Hier was niets slecht maar eerlijk ook niets goeds.. en dat voor 150€/nacht…",True
N/A,07-2023,Germany,Standard Queen Room,Family,6,07-2023,10,"Die Unterkunft hat uns sehr gut gefallen, da wir ein Upgrade bekommen haben, da mein Sohn ein Medikament bekommen, dass im Kühlschrank gelagert werden muss. Wir haben alle Möglichkeiten genutzt abends Tischtennis sowie Spiele gespielt. Morgens haben wir das Gym genutzt. Auch das Essen war sehr lecker!",N/A,True
N/A,07-2023,Germany,Standard Queen Room,Couple,2,07-2023,10,"Das Empfangspersonal war sehr nett. Das Zimmer war ausreichend und sehr schön eingerichtet. Das Frühstücksbuffet war sehr sehr lecker und man hatte sehr viel auswahl. Auch wenn man wenig Englisch sprechen kann läuft alles super reibungslos. 
Im großen und ganzen auf jedenfall einen Aufenthalt wert. 10 von 10 :)",N/A,True
N/A,07-2023,Netherlands,Standard Queen Room,Couple,1,07-2023,10,Zeer vriendelijke ontvangst en ruime schone kamer. En er hangt een hele prettige ongedwongen sfeer.,Geen stopcontacten bij het bed,True
N/A,07-2023,Netherlands,Standard Queen Room,Couple,1,07-2023,6.0,Lekker in het centrum,De kussens waren veel te dik. Niet op te slapen.,True
N/A,07-2023,Italy,Deluxe King Room,Family,2,07-2023,10,"Esperienza super positiva: si respira un'aria internazionale, lo staff è gentile e pronto a rispondere ad ogni esigenza. La struttura e le camere sono moderne e dotate di ogni confort. Segnalo che la struttura offre uno spazio lavanderia GRATUITO, dotato di lavatrici ed asciugatrici (da noi molto apprezzato perchè era una tappa di un lungo viaggio). La struttura è in centro, che si può raggiungere a piedi in meno di 5 minuti. Un posto che ci è rimasto nel cuore per l'atmosfera vissuta!",N/A,True
N/A,06-2023,Germany,Deluxe King Room,Couple,2,06-2023,5.0,N/A,"Die Klimaanlage hat es nicht geschafft, das Zimmer auf ein erträgliches Maß herunterzukühlen.",True
